_c0,appId,developer,developerId,developerWebsite,free,genre,genreId,inAppProductPrice,minInstalls,offersIAP,originalPrice,price,ratings,len screenshots,adSupported,containsAds,reviews,releasedDayYear,sale,score,summary,title,updated,histogram1,histogram2,histogram3,histogram4,histogram5,releasedDay,releasedYear,releasedMonth,dateUpdated,minprice,maxprice,ParseReleasedDayYear
12,com.inforotor.saas.artist.mone,Inforotor,Inforotor,None,1,Art & Design,ART_AND_DESIGN,None,5000,0,None,0.0,0,6,0,0,0,"Oct 12, 2016",0,0.0,"Claude Monet in your pocket: Paintings, Biography & Stories for free!",Monet. Artworks and life of th,1575451764.0,0,0,0,0,0,12,2016,Oct,2019-12-04 09:29:24,None,0.0,2016-10-12 00:00:00
13,com.inforotor.saas.artist.vangog,Inforotor,Inforotor,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,6,0,0,0,"Oct 12, 2016",0,0.0,"Van Gogh in your pocket: Paintings, Biography & Stories for free!",Van Gogh. Artworks and life of,1575445356.0,0,0,0,0,0,12,2016,Oct,2019-12-04 07:42:36,None,0.0,2016-10-12 00:00:00
14,com.appystations.easyrangolidesignsbooknewsimple,Appy Stations,7832284125212021063,None,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,0,9,1,1,0,"Oct 25, 2016",0,0.0,Best rangoli designs Diwali 2019 easy rangoli design free hand rangoli design,Latest Diwali Rangoli Designs,1564160075.0,0,0,0,0,0,25,2016,Oct,2019-07-26 16:54:35,None,0.0,2016-10-25 00:00:00
15,appwala.designer.calender.theme,App Wala,App+Wala,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,140,24,1,1,9,"Jan 2, 2017",0,4.13,Happy New Year 2021  Designer Calendar Themes lock screen and live wallpaper.,Designer Calendar 2021 New Yea,1610018300.0,6,0,42,12,79,2,2017,Jan,2021-01-07 11:18:20,None,0.0,2017-01-02 00:00:00
16,com.trendyboys.rangavalli,TRENDYBOYS,TRENDYBOYS,None,1,Art & Design,ART_AND_DESIGN,None,5000,0,None,0.0,0,4,1,1,0,"Jan 9, 2017",0,0.0,All Rangolis In one place,Sankranthi wishes and rangoli,1547145561.0,0,0,0,0,0,9,2017,Jan,2019-01-10 18:39:21,None,0.0,2017-01-09 00:00:00
17,appinventor.ai_andycherbert.camera_doodler_free,Quantonium,8348135796245627107,http://andyherbert.net,1,Art & Design,ART_AND_DESIGN,None,50,0,None,0.0,0,3,0,0,0,"Oct 16, 2016",0,0.0,A fun app that allows you to draw on images. Made with MIT App Inventor 2,Camera Doodler,1476767388.0,0,0,0,0,0,16,2016,Oct,2016-10-18 05:09:48,None,0.0,2016-10-16 00:00:00
18,com.hd.fivex.latest.mehndi.designs,Fivex Solution,Fivex+Solution,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,8,1,1,0,"Jan 15, 2017",0,0.0,latest <b>Mehndi designs</b> for girls and bridles with Henna tattoo designs,Stylish Mehndi Design,1629915356.0,0,0,0,0,0,15,2017,Jan,2021-08-25 18:15:56,None,0.0,2017-01-15 00:00:00
19,marcos.amor.gifs,C&C - CarrionCastillo,8334369132015437980,http://www.carrioncastillo.com,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,12,1,1,0,"Jan 29, 2017",0,0.0,❤ LOVE GIF ❤ - Create your photo frames of animated gifs love,❤ Animated GIF Photo Frames,1485729374.0,0,0,0,0,0,29,2017,Jan,2017-01-29 22:36:14,None,0.0,2017-01-29 00:00:00
20,jp.co.a_tm.android.plus_nakayoshi_kaeru,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,724,4,1,1,8,"Jan 27, 2017",0,3.59,Two cute and friendly frogs,Friendly Frogs Theme +HOME,1485507127.0,170,85,0,85,383,27,2017,Jan,2017-01-27 08:52:07,None,0.0,2017-01-27 00:00:00
21,com.dsrtech.backgroundChanger,Pixel Force Pvt Ltd,Pixel+Force+Pvt+Ltd,http://www.pixelforce.in,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,41,18,1,1,2,"Jan 25, 2017",0,4.17,"Powerful Photo Background Changer , Eraser , Photo Editor and Photo Blender",Cut Fix : Background Eraser re,1518804403.0,6,0,0,6,27,25,2017,Jan,2018-02-16 18:06:43,None,0.0,2017-01-25 00:00:00
22,appdevtechnolabs.com.royalsignature,AppDev Technolabs,AppDev+Technolabs,http://appdevtechnolabs.com/,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,2,1,1,0,"Dec 3, 2016",0,0.0,Write your name using different style.,"","",0,0,0,0,0,3,2016,Dec,"",None,0.0,2016-12-03 00:00:00
23,jp.co.a_tm.android.plus_i_love_cats,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,1550,4,1,1,18,"Dec 1, 2016",0,4.43,A cute theme for cat lovers!,I Love Cats Theme +HOME,1480662212.0,209,0,0,41,1298,1,2016,Dec,2016-12-02 07:03:32,None,0.0,2016-12-01 00:00:00
24,abc.logodesign,Generic Apps,7967647865735231845,https://genericappsco.web.app/,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,109,7,1,1,8,"Dec 19, 2016",0,2.3,"Create Business Logo , Brand Logo With Professional Logo Maker. 3D DESIGN STUDIO",Logo Maker 3D  -Business Card,1498663953.0,43,21,21,10,10,19,2016,Dec,2017-06-28 15:32:33,None,0.0,2016-12-19 00:00:00
25,com.pragma.mirrordrawing,Pragma Infotech,5609913392815792467,http://www.pragmainfotech.com,1,Art & Design,ART_AND_DESIGN,$0.99 per item,50000,1,None,0.0,268,18,1,1,49,"Dec 24, 2016",0,1.72,Mirror Drawing Maker is an excellent App to draw symmetrical hand drawn designs.,Mirror Drawing Maker,1558761081.0,188,30,11,11,26,24,2016,Dec,2019-05-25 05:11:21,$0.99 per item,0.99,2016-12-24 00:00:00
26,com.skyapps.hindi.poetry.photo.editor,Skysol apps,5166526626014691291,https://skysolapp.blogspot.com//ads.txt,1,Art & Design,ART_AND_DESIGN,None,500000,0,None,0.0,0,10,1,1,0,"Mar 25, 2017",0,0.0,Add Hindi Poetry on HD frames or Pics with help of Hindi keyboard,Writing Hindi Poetry On Photo,1665307622.0,0,0,0,0,0,25,2017,Mar,2022-10-09 09:27:02,None,0.0,2017-03-25 00:00:00
27,com.benitez.temploMayorAR,Green Bubble Labs,8948684437410460952,https://www.netbinnacle.com/,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,0,16,1,1,0,"Jan 8, 2017",0,0.0,Augmented reality (AR) for visitor of mexico temple (Tempo Mayor) in Mexico City,Augmented reality  mexico temp,1560544437.0,0,0,0,0,0,8,2017,Jan,2019-06-14 20:33:57,None,0.0,2017-01-08 00:00:00
28,com.accurasoftech.quotescreator,Accura TechSoft,Accura+TechSoft,None,1,Art & Design,ART_AND_DESIGN,None,5000,0,None,0.0,0,14,1,1,0,"Mar 28, 2017",0,0.0,quotes creator and quote caption,Quotes creator - picture quote,1573889174.0,0,0,0,0,0,28,2017,Mar,2019-11-16 07:26:14,None,0.0,2017-03-28 00:00:00
29,com.bottleideas.DIY,Bajindol,Bajindol,None,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,0,8,1,1,0,"Feb 15, 2017",0,0.0,Collection of creative ideas bottle recycling,DIY Bottle Crafts,1625665194.0,0,0,0,0,0,15,2017,Feb,2021-07-07 13:39:54,None,0.0,2017-02-15 00:00:00
30,jp.co.a_tm.android.plus_sanbikino_nekochan,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,525,4,1,1,7,"Apr 4, 2017",0,4.5,A cute theme featuring a trio of kitties,Three Kitties Theme +HOME,1492753868.0,43,0,0,87,393,4,2017,Apr,2017-04-21 05:51:08,None,0.0,2017-04-04 00:00:00
31,com.vehicledrawingbook.android,Bitty Apps,Bitty+Apps,http://bittyapps.in,1,Art & Design,ART_AND_DESIGN,None,5000000,0,None,0.0,2308,15,1,1,12,"Apr 7, 2017",0,4.06,vehicles coloring & drawing book is made to develop your drawing skills.,vehicles coloring book & drawi,1628706960.0,288,144,72,432,1370,7,2017,Apr,2021-08-11 18:36:00,None,0.0,2017-04-07 00:00:00
32,jp.co.a_tm.android.plus_unicorn_dream2,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,1388,4,1,1,13,"Apr 11, 2017",0,4.57,A lovely unicorn theme with pastel colors,Unicorn Dream Theme,1491969652.0,92,0,46,138,1110,11,2017,Apr,2017-04-12 04:00:52,None,0.0,2017-04-11 00:00:00
33,com.ArtJars.myapp,Elzara.Inc,4932599328137973263,None,1,Art & Design,ART_AND_DESIGN,None,50,0,None,0.0,0,15,1,1,0,"Apr 23, 2017",0,0.0,"\"Free Apk Apps! - happy bonus \"\"Art Jars\"\" for android\"",African Style New Jars,1492966949.0,0,0,0,0,0,23,2017,Apr,2017-04-23 17:02:29,None,0.0,2017-04-23 00:00:00
34,abnormal.ragozin.colorguess,V. Ragozin,V.+Ragozin,http://optimic.org/ra,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,0,5,1,1,0,"May 19, 2017",0,0.0,"Guess the color by the given RGB(red, green, blue) value.",Color guessing game for design,1496823345.0,0,0,0,0,0,19,2017,May,2017-06-07 08:15:45,None,0.0,2017-05-19 00:00:00
35,com.enginair.eidulfitri,enginair,enginair,None,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,18,1,1,0,"Jun 25, 2017",0,0.0,A simply way to send greeting cards to friends and relatives.,Eid Mubarak Greeting Cards and,1564850886.0,0,0,0,0,0,25,2017,Jun,2019-08-03 16:48:06,None,0.0,2017-06-25 00:00:00
36,whitefawn.shikinoin,WhiteFawn,WhiteFawn,http://www12.plala.or.jp/Beethoven/whitefawn.html,1,Art & Design,ART_AND_DESIGN,None,500,0,None,0.0,0,12,0,0,0,"Jul 13, 2017",0,0.0,Today's haiku of a gem,Haiku  Rhyme of the four seaso,1640232383.0,0,0,0,0,0,13,2017,Jul,2021-12-23 04:06:23,None,0.0,2017-07-13 00:00:00
37,com.EasterEggPainting.jafsamapps,jafsamapps,jafsamapps,None,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,12,1,1,0,"Jul 18, 2017",0,0.0,Easter activities egg painting is a fun activiteis,Easter Activities Egg Painting,1500407709.0,0,0,0,0,0,18,2017,Jul,2017-07-18 19:55:09,None,0.0,2017-07-18 00:00:00
38,com.gooldari.anicon,Gooldari,Gooldari,http://www.gooldari.com,1,Art & Design,ART_AND_DESIGN,None,500,0,None,0.0,0,7,1,1,0,"Jul 2, 2017",0,0.0,Anicon is like flash. can make GIF and Mp4 Movie,"","",0,0,0,0,0,2,2017,Jul,"",None,0.0,2017-07-02 00:00:00
39,com.smoothhq.draw,Smooth HQ,Smooth+HQ,http://www.smoothhq.com,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,10,5,1,1,4,"Jul 11, 2017",0,3.67,Draw a picture with a friend.  2 Phones.  2 Friends.  1 Drawing.  Same Time.,Draw with a Friend. Same Pic.,1541089831.0,0,3,1,0,5,11,2017,Jul,2018-11-01 16:30:31,None,0.0,2017-07-11 00:00:00
40,appinventor.ai_temcreate.witchstudio,witchAD studio,witchAD+studio,http://witchad.com,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,5,0,0,0,"Jul 18, 2017",0,0.0,Web Design Online Shopping Mall Free Website Homepage Responsive Web WordPress,무료홈페이지 무료쇼핑몰 제작 만들기 반응형웹 모바일웹,1552876955.0,0,0,0,0,0,18,2017,Jul,2019-03-18 02:42:35,None,0.0,2017-07-18 00:00:00
41,samsung.galaxy.j5.j7.j8.a9.c5.s8.j2.pro.j5.galaxyj5.s6.note5.note.edge.theme.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,925,4,1,1,5,"Aug 2, 2017",0,4.5,Theme for  J5 HD / galaxy j5 prime are just for your phone🌟,Theme for  J5 HD / galaxy j5 p,1555758257.0,115,0,0,0,809,2,2017,Aug,2019-04-20 11:04:17,None,0.0,2017-08-02 00:00:00
42,com.Painting3D.andidev,andidev,andidev,https://sukasemuago.blogspot.com/,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,6,1,1,0,"Jul 31, 2017",0,0.0,A unique 3d painting is applied here,3D Painting,1593092030.0,0,0,0,0,0,31,2017,Jul,2020-06-25 13:33:50,None,0.0,2017-07-31 00:00:00
43,best.birthdayphotoframe.Greetings,Creative Curve,Creative+Curve,None,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,157,10,1,1,1,"Jul 28, 2017",0,5.0,"Birthday-Photo Frame,Greetings is simple and easy to","","",0,0,0,0,157,28,2017,Jul,"",None,0.0,2017-07-28 00:00:00
44,huawei.p9.p10plus.p10lite.p10.p8.nova2.mate9.pro.plus.galaxys8.theme.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,2438,4,1,1,14,"Aug 7, 2017",0,4.72,Theme for P8 & P10 Gold Wallpaper Icon Pack are just for your phone🌟,Theme for P8 & P10 Gold Wallpa,1555758875.0,60,0,121,182,2072,7,2017,Aug,2019-04-20 11:14:35,None,0.0,2017-08-07 00:00:00
45,huawei.p8.lite.p10.plus.p10plus.p10lite.nexus.p9.nova.mate9.pro.galaxys8.theme.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,4290,4,1,1,14,"Aug 8, 2017",0,4.29,Download Theme for Huawei P8 Wallpaper Icon Pack to give your phone makeover!,Theme for P8 Lite HD Wallpaper,1555759561.0,313,209,418,313,3034,8,2017,Aug,2019-04-20 11:26:01,None,0.0,2017-08-08 00:00:00
46,com.DesainSuratKaligrafi.codetapps,Cahya Baihaqi,Cahya+Baihaqi,None,1,Art & Design,ART_AND_DESIGN,None,500,0,None,0.0,0,6,0,0,0,"Aug 11, 2017",0,0.0,This app provides some calligraphy descriptions,Design letter of calligraphy,1590048055.0,0,0,0,0,0,11,2017,Aug,2020-05-21 08:00:55,None,0.0,2017-08-11 00:00:00
47,micro.nameMakerLatest,Microbots,Microbots,http://planetsstudio.club,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,8083,9,1,1,119,"Aug 24, 2017",0,4.85,"Name and Text art  with 3d fonts and write on picture,make stylish name.",stylish name maker - stylish t,1621715430.0,50,50,151,303,7426,24,2017,Aug,2021-05-22 20:30:30,None,0.0,2017-08-24 00:00:00
48,com.devfactory.Hisat,하임성,%ED%95%98%EC%9E%84%EC%84%B1,http://imha.wo.to,1,Art & Design,ART_AND_DESIGN,None,1,0,None,0.0,0,3,0,0,0,"Nov 18, 2019",0,0.0,Combination of flat art and video art through 4 seasons and,4 seasons and,1574492862.0,0,0,0,0,0,18,2019,Nov,2019-11-23 07:07:42,None,0.0,2019-11-18 00:00:00
49,oppo.r3.mirror.r11.f3plus.a37.oppof3.oppofind9.oppor9splus.oppor7splus.oppor1c.launcher.theme,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,4,0,0,0,"Aug 21, 2017",0,0.0,"Theme for Oppo R3: Free Wallpaper & Icon, free theme with HD wallpapers & icons",Theme for R3: Free Wallpaper &,1555761383.0,0,0,0,0,0,21,2017,Aug,2019-04-20 11:56:23,None,0.0,2017-08-21 00:00:00
50,com.iwanrewok.Kitefestival,iwanrewok,iwanrewok,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,3,1,1,0,"Aug 19, 2017",0,0.0,Find the best Kite festival in this app,Kite festival,1514976358.0,0,0,0,0,0,19,2017,Aug,2018-01-03 10:45:58,None,0.0,2017-08-19 00:00:00
51,com.exrump.nosuntopraise.nosuntopraise,Dmitry V.,Dmitry+V.,http://4rstudio.com,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,22,2,0,0,3,"Jul 7, 2017",0,4.8,A pixel art Live Wallpaper inspired by Dark Souls video game.,No Sun to Praise [Live Wallpap,1499450144.0,0,0,0,4,17,7,2017,Jul,2017-07-07 17:55:44,None,0.0,2017-07-07 00:00:00
52,com.kadersapp.hater_kaz_bangla_selai,LiiBD Inc,LiiBD+Inc,None,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,0,15,1,1,0,"Sep 20, 2017",0,0.0,হাতের সেলাই ও নানান ধরনের হাতের কাজ শিখতে এখনি অ্যাপটি ডাউনলোড করুন।,হাতের সেলাই শেখার সহজ উপায়,1666501029.0,0,0,0,0,0,20,2017,Sep,2022-10-23 04:57:09,None,0.0,2017-09-20 00:00:00
53,xiaomi.redmi.note4x.redmi4.note4.redmi4a.mi4.mi.max.mi5.redmi3s.mi6.theme.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,2371,4,0,0,2,"Sep 18, 2017",0,4.67,Theme for Redmi Note 4X HD are just for your phone🌟,Theme for Redmi Note 4X HD,1555767616.0,197,0,0,0,2173,18,2017,Sep,2019-04-20 13:40:16,None,0.0,2017-09-18 00:00:00
54,swipe.konnect4g.elite.plus.sense.note.max.EliteMax.Elite3.EliteStar.EliteSense.ElitePower.theme.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,164,5,0,0,4,"Sep 18, 2017",0,4.78,New Year Firework Theme—Happy New year 2019!,Happy New Year Theme With Fire,1555767758.0,0,0,18,0,145,18,2017,Sep,2019-04-20 13:42:38,None,0.0,2017-09-18 00:00:00
55,com.shoutrlabs.shoutrboxxapp.berlinischegalerie,shoutr labs UG (haftungsbeschränkt),shoutr+labs+UG+(haftungsbeschr%C3%A4nkt),http://shoutrlabs.com,1,Art & Design,ART_AND_DESIGN,None,500,0,None,0.0,0,9,0,0,0,"Sep 20, 2017",0,0.0,An inclusive Guide.,Berlinische Galerie – An inclu,1603191890.0,0,0,0,0,0,20,2017,Sep,2020-10-20 11:04:50,None,0.0,2017-09-20 00:00:00
56,theme.art.lifestyle.stylish.design.wallpaper.geometry.gray.launcher,Galaxy Theme Launcher,Galaxy+Theme+Launcher,None,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,4,0,0,0,"Aug 28, 2017",0,0.0,Install Color Designs Free Wallpaper for Lenovo K5/ K5Note and enjoy NOW!,Color Designs Free Wallpaper f,1555762923.0,0,0,0,0,0,28,2017,Aug,2019-04-20 12:22:03,None,0.0,2017-08-28 00:00:00
57,jp.co.a_tm.android.plus_unicorn_nekochan,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,459,5,1,1,6,"Sep 3, 2017",0,4.43,A cute theme where a cat has become a unicorn,Caticorn Theme +HOME,1504492772.0,0,32,65,32,327,3,2017,Sep,2017-09-04 02:39:32,None,0.0,2017-09-03 00:00:00
58,se.threedinteractive.konstar,3D Interactive STHLM AB,3D+Interactive+STHLM+AB,http://www.3dinteractive.se,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,0,6,0,0,0,"Sep 5, 2017",0,0.0,Experience Raste and the daughters of Maadteraahka in AR at AWE EU 2022.,ÁRRAN 360,1666003310.0,0,0,0,0,0,5,2017,Sep,2022-10-17 10:41:50,None,0.0,2017-09-05 00:00:00
59,com.beautycamera.photoeditor,Phone X,Phone+X,None,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,7,1,1,0,"Oct 11, 2017",0,0.0,"The All-In- One free Photo Editor pro, Selfie editor; Pip photo editor",Lite Camera: Beauty Camera Pho,1543463425.0,0,0,0,0,0,11,2017,Oct,2018-11-29 03:50:25,None,0.0,2017-10-11 00:00:00
60,com.KerajinanStikESCream.codetApps,Cahya Baihaqi,Cahya+Baihaqi,None,1,Art & Design,ART_AND_DESIGN,None,100,0,None,0.0,0,7,1,1,0,"Oct 9, 2017",0,0.0,Find the best designs of ice cream craft. this app for free,Craft Stick ice cream,1555141881.0,0,0,0,0,0,9,2017,Oct,2019-04-13 07:51:21,None,0.0,2017-10-09 00:00:00
61,smartgr.forearm.tattoos,Smartongroup,Smartongroup,https://bestdiylists.com/,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,0,6,1,1,0,"Oct 16, 2017",0,0.0,Forearm tattoo is the most popular male tattoo.,Forearm Tattoos,1661717830.0,0,0,0,0,0,16,2017,Oct,2022-08-28 20:17:10,None,0.0,2017-10-16 00:00:00
62,microbots.logomaker,Microbots,Microbots,http://planetsstudio.club,1,Art & Design,ART_AND_DESIGN,None,500000,0,None,0.0,14312,18,1,1,1211,"Oct 24, 2017",0,4.63,"make professional logo,s with logo make.this best logo maker ever.",Logo Maker - Logo Designer,1630270733.0,0,145,846,3101,10207,24,2017,Oct,2021-08-29 20:58:53,None,0.0,2017-10-24 00:00:00
63,com.rainerbode.adrianalins,Rainer Bode at TORUS PROJECTS,Rainer+Bode+at+TORUS+PROJECTS,None,1,Art & Design,ART_AND_DESIGN,None,5,0,None,0.0,0,6,0,0,0,"Oct 13, 2017",0,0.0,Application of Dance,"Adriana Carneiro - Info Dança,",1517770458.0,0,0,0,0,0,13,2017,Oct,2018-02-04 18:54:18,None,0.0,2017-10-13 00:00:00
64,com.mitz.logomaker,Mitz Software Technologies,6647150779090277741,http://www.mitz.pk/,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,93,20,1,1,8,"Oct 20, 2017",0,3.85,Looking for the best logo maker & graphic design maker free app 2020 ?,best Logo Maker - Free Graphic,1532186343.0,13,4,13,9,51,20,2017,Oct,2018-07-21 15:19:03,None,0.0,2017-10-20 00:00:00
